code_module,gender,region,highest_education,age_band,num_of_prev_attempts,studied_credits,disability,final_result
BBB,M,London Region,A Level or Equivalent,0-35,0,60,N,Fail
BBB,F,London Region,A Level or Equivalent,35-55,1,120,Y,Pass
BBB,F,East Anglian Region,A Level or Equivalent,0-35,0,60,N,Pass
FFF,F,South East Region,Lower Than A Level,35-55,0,60,N,Withdrawn
CCC,M,East Midlands Region,Lower Than A Level,0-35,0,60,N,Withdrawn
GGG,M,South Region,Lower Than A Level,0-35,0,30,N,Fail
DDD,M,Scotland,A Level or Equivalent,0-35,0,120,Y,Pass
BBB,F,Yorkshire Region,Lower Than A Level,0-35,0,60,N,Fail
BBB,F,South Region,A Level or Equivalent,35-55,0,60,N,Pass
BBB,M,Scotland,A Level or Equivalent,35-55,0,60,N,Pass
GGG,M,North Western Region,A Level or Equivalent,0-35,0,30,Y,Pass
BBB,F,South East Region,Lower Than A Level,35-55,0,135,N,Fail
FFF,M,East Midlands Region,A Level or Equivalent,0-35,1,60,Y,Fail
BBB,F,West Midlands Region,Lower Than A Level,35-55,1,120,N,Withdrawn
GGG,F,East Anglian Region,HE Qualification,0-35,0,30,N,Withdrawn
FFF,M,London Region,A Level or Equivalent,35-55,0,90,N,Pass
CCC,M,West Midlands Region,A Level or Equivalent,0-35,0,180,N,Pass
CCC,M,East Anglian Region,Lower Than A Level,0-35,0,90,N,Fail
FFF,M,Yorkshire Region,Lower Than A Level,0-35,0,60,N,Pass
DDD,M,South West Region,A Level or Equivalent,0-35,0,75,N,Withdrawn
CCC,F,East Midlands Region,A Level or Equivalent,0-35,0,60,N,Withdrawn
EEE,M,East Anglian Region,Lower Than A Level,0-35,0,30,N,Pass
CCC,M,Wales,Lower Than A Level,0-35,0,120,Y,Fail
CCC,M,South Region,Post Graduate Qualification,35-55,0,60,N,Pass
EEE,M,Scotland,A Level or Equivalent,0-35,0,90,Y,Fail
CCC,F,South Region,HE Qualification,35-55,0,60,N,Fail
FFF,M,Wales,Lower Than A Level,0-35,1,60,Y,Fail
CCC,F,South Region,A Level or Equivalent,35-55,0,60,N,Withdrawn
BBB,F,Yorkshire Region,Lower Than A Level,0-35,0,60,N,Fail
GGG,M,North Region,Lower Than A Level,35-55,1,60,N,Fail
DDD,F,London Region,HE Qualification,0-35,0,60,N,Pass
BBB,F,West Midlands Region,A Level or Equivalent,0-35,0,60,Y,Fail
FFF,M,North Region,HE Qualification,0-35,0,120,N,Pass
FFF,M,North Region,No Formal quals,0-35,0,120,N,Fail
CCC,F,London Region,A Level or Equivalent,0-35,0,150,N,Fail
CCC,F,South East Region,HE Qualification,35-55,0,120,N,Pass
BBB,F,Scotland,A Level or Equivalent,0-35,0,60,N,Pass
BBB,M,Yorkshire Region,Lower Than A Level,35-55,0,120,N,Pass
FFF,M,Yorkshire Region,Lower Than A Level,0-35,0,60,N,Fail
EEE,M,West Midlands Region,Lower Than A Level,0-35,0,30,N,Fail
CCC,M,London Region,A Level or Equivalent,0-35,0,60,N,Pass
CCC,M,London Region,HE Qualification,0-35,1,60,N,Pass
EEE,M,Scotland,Post Graduate Qualification,0-35,0,30,N,Pass
DDD,M,East Anglian Region,A Level or Equivalent,0-35,1,60,N,Fail
DDD,F,East Anglian Region,Lower Than A Level,35-55,0,60,N,Pass
CCC,M,East Midlands Region,A Level or Equivalent,0-35,0,30,N,Withdrawn
DDD,M,East Midlands Region,Lower Than A Level,0-35,1,90,N,Withdrawn
FFF,M,North Region,Lower Than A Level,0-35,0,120,N,Pass
CCC,M,Scotland,A Level or Equivalent,0-35,0,90,N,Fail
FFF,M,South West Region,Lower Than A Level,0-35,0,60,N,Withdrawn
FFF,M,North Region,Lower Than A Level,0-35,0,60,N,Withdrawn
DDD,M,North Region,Lower Than A Level,0-35,0,60,N,Pass
FFF,M,West Midlands Region,Lower Than A Level,35-55,1,120,N,Pass
DDD,F,South Region,A Level or Equivalent,0-35,1,120,N,Withdrawn
DDD,F,South West Region,A Level or Equivalent,0-35,0,120,N,Withdrawn
BBB,F,South East Region,A Level or Equivalent,35-55,0,120,Y,Pass
FFF,M,London Region,HE Qualification,0-35,0,120,N,Pass
FFF,M,North Region,Lower Than A Level,0-35,0,60,N,Pass
DDD,F,Scotland,A Level or Equivalent,35-55,0,60,Y,Fail
BBB,F,North Western Region,A Level or Equivalent,0-35,0,120,N,Pass
CCC,M,Wales,HE Qualification,35-55,0,90,N,Withdrawn
FFF,M,East Anglian Region,A Level or Equivalent,0-35,0,90,N,Pass
FFF,M,Scotland,A Level or Equivalent,0-35,0,120,N,Withdrawn
CCC,M,Scotland,HE Qualification,0-35,0,60,N,Fail
BBB,F,South West Region,Lower Than A Level,35-55,0,60,N,Pass
FFF,M,London Region,No Formal quals,0-35,0,120,N,Fail
FFF,M,East Anglian Region,HE Qualification,35-55,0,120,N,Withdrawn
EEE,M,East Anglian Region,Lower Than A Level,0-35,0,120,N,Withdrawn
BBB,F,East Midlands Region,Lower Than A Level,0-35,0,120,N,Withdrawn
FFF,M,North Western Region,Lower Than A Level,0-35,2,120,N,Withdrawn
BBB,F,East Midlands Region,A Level or Equivalent,35-55,0,60,N,Pass
EEE,M,South East Region,Lower Than A Level,0-35,0,60,N,Pass
BBB,F,West Midlands Region,Lower Than A Level,0-35,0,60,N,Withdrawn
BBB,F,East Anglian Region,A Level or Equivalent,0-35,0,180,N,Pass
FFF,M,South East Region,A Level or Equivalent,0-35,0,60,N,Withdrawn
DDD,M,North Western Region,Lower Than A Level,0-35,0,120,N,Withdrawn
CCC,M,Wales,A Level or Equivalent,0-35,0,60,N,Pass
BBB,F,North Western Region,Lower Than A Level,0-35,0,120,Y,Fail
DDD,M,South Region,A Level or Equivalent,0-35,0,60,N,Pass
GGG,M,North Western Region,A Level or Equivalent,35-55,0,30,Y,Fail
CCC,M,Wales,A Level or Equivalent,0-35,0,60,N,Fail
BBB,F,North Western Region,Lower Than A Level,35-55,0,60,N,Pass
FFF,M,North Western Region,Lower Than A Level,0-35,0,150,N,Pass
FFF,F,South West Region,Lower Than A Level,35-55,0,120,N,Pass
CCC,M,South Region,Lower Than A Level,35-55,0,30,Y,Pass
CCC,M,Scotland,A Level or Equivalent,0-35,0,60,N,Pass
FFF,M,Scotland,HE Qualification,0-35,0,90,N,Pass
CCC,M,East Anglian Region,A Level or Equivalent,0-35,0,90,N,Fail
CCC,M,Yorkshire Region,A Level or Equivalent,35-55,0,60,N,Withdrawn
BBB,F,Yorkshire Region,A Level or Equivalent,0-35,0,60,N,Pass
GGG,F,North Western Region,Lower Than A Level,0-35,0,30,N,Pass
DDD,M,Wales,HE Qualification,35-55,0,60,N,Fail
FFF,M,North Region,A Level or Equivalent,35-55,0,60,N,Fail
BBB,M,London Region,Lower Than A Level,35-55,0,120,Y,Pass
BBB,F,London Region,A Level or Equivalent,0-35,0,60,N,Pass
FFF,F,East Midlands Region,Lower Than A Level,0-35,0,60,N,Withdrawn
FFF,M,Ireland,Lower Than A Level,35-55,0,60,N,Withdrawn
FFF,M,London Region,A Level or Equivalent,0-35,0,180,N,Withdrawn
EEE,M,East Midlands Region,A Level or Equivalent,0-35,0,60,N,Pass
FFF,M,Ireland,A Level or Equivalent,35-55,0,60,N,Fail
DDD,M,West Midlands Region,Lower Than A Level,0-35,0,60,N,Withdrawn
BBB,F,North Western Region,A Level or Equivalent,0-35,0,180,N,Withdrawn
FFF,M,South East Region,Lower Than A Level,35-55,2,60,N,Pass
EEE,M,East Anglian Region,Lower Than A Level,0-35,0,30,N,Fail
FFF,M,Wales,A Level or Equivalent,0-35,0,75,N,Pass
EEE,M,West Midlands Region,Lower Than A Level,0-35,0,150,N,Pass
AAA,F,South West Region,A Level or Equivalent,0-35,0,240,Y,Withdrawn
BBB,F,Ireland,A Level or Equivalent,35-55,0,60,N,Pass
CCC,M,South Region,Lower Than A Level,35-55,0,180,N,Withdrawn
BBB,F,London Region,HE Qualification,35-55,0,60,N,Pass
BBB,F,Wales,Lower Than A Level,0-35,0,75,N,Pass
FFF,M,South Region,A Level or Equivalent,0-35,0,60,N,Pass
BBB,F,London Region,Lower Than A Level,0-35,0,120,N,Withdrawn
CCC,M,West Midlands Region,A Level or Equivalent,0-35,0,30,N,Fail
FFF,F,West Midlands Region,A Level or Equivalent,0-35,1,210,N,Withdrawn
BBB,F,Ireland,Lower Than A Level,0-35,0,60,N,Fail
FFF,M,Yorkshire Region,Lower Than A Level,0-35,0,120,N,Pass
DDD,M,East Anglian Region,HE Qualification,35-55,1,160,N,Pass
FFF,F,North Western Region,Lower Than A Level,35-55,0,120,Y,Withdrawn
BBB,F,East Anglian Region,A Level or Equivalent,0-35,0,120,N,Pass
DDD,F,South West Region,Lower Than A Level,35-55,2,60,Y,Fail
BBB,F,North Western Region,Lower Than A Level,0-35,0,120,N,Withdrawn
FFF,M,London Region,A Level or Equivalent,0-35,1,90,N,Withdrawn
CCC,M,East Anglian Region,A Level or Equivalent,0-35,0,60,N,Pass
DDD,F,South West Region,A Level or Equivalent,0-35,0,60,N,Withdrawn
FFF,M,South East Region,Lower Than A Level,35-55,0,120,N,Fail
CCC,M,West Midlands Region,A Level or Equivalent,0-35,0,90,N,Withdrawn
CCC,F,Scotland,HE Qualification,0-35,0,90,N,Pass
FFF,M,Scotland,A Level or Equivalent,0-35,0,60,N,Withdrawn
DDD,F,Ireland,A Level or Equivalent,0-35,0,120,N,Withdrawn
CCC,M,West Midlands Region,HE Qualification,0-35,0,60,N,Pass
CCC,M,Scotland,Lower Than A Level,0-35,0,60,N,Fail
FFF,F,East Anglian Region,Lower Than A Level,35-55,0,60,Y,Fail
FFF,M,West Midlands Region,A Level or Equivalent,0-35,0,90,Y,Pass
FFF,M,North Region,A Level or Equivalent,0-35,1,120,N,Withdrawn
CCC,M,Wales,A Level or Equivalent,0-35,0,60,N,Withdrawn
BBB,M,Scotland,A Level or Equivalent,0-35,0,60,N,Pass
EEE,M,East Anglian Region,Lower Than A Level,0-35,0,60,N,Withdrawn
CCC,F,South East Region,Lower Than A Level,35-55,0,90,N,Withdrawn
GGG,F,North Region,Lower Than A Level,0-35,0,90,N,Pass
GGG,F,North Western Region,Lower Than A Level,0-35,0,30,N,Pass
BBB,M,South Region,A Level or Equivalent,35-55,1,60,N,Withdrawn
CCC,M,East Anglian Region,HE Qualification,35-55,0,120,N,Withdrawn
GGG,F,London Region,Lower Than A Level,35-55,0,30,N,Pass
BBB,M,South East Region,Lower Than A Level,0-35,0,60,Y,Pass
BBB,F,Wales,Lower Than A Level,35-55,1,120,N,Withdrawn
BBB,M,Scotland,Lower Than A Level,35-55,0,60,N,Pass
CCC,M,North Western Region,A Level or Equivalent,0-35,0,60,N,Fail
BBB,M,Yorkshire Region,Lower Than A Level,35-55,1,60,N,Pass
CCC,F,North Western Region,Lower Than A Level,0-35,0,30,N,Withdrawn
BBB,F,South East Region,A Level or Equivalent,35-55,1,120,N,Withdrawn
FFF,M,East Anglian Region,HE Qualification,0-35,1,90,N,Withdrawn
CCC,M,Scotland,Post Graduate Qualification,35-55,0,30,N,Withdrawn
FFF,F,East Anglian Region,Lower Than A Level,35-55,0,120,Y,Withdrawn
DDD,M,East Midlands Region,A Level or Equivalent,35-55,0,120,N,Pass
AAA,M,Scotland,HE Qualification,0-35,0,60,N,Pass
CCC,M,South West Region,A Level or Equivalent,0-35,0,120,N,Pass
CCC,M,London Region,A Level or Equivalent,0-35,0,220,N,Pass
FFF,M,West Midlands Region,A Level or Equivalent,0-35,1,60,N,Fail
DDD,M,South Region,A Level or Equivalent,0-35,0,120,N,Pass
DDD,M,North Western Region,A Level or Equivalent,35-55,2,120,Y,Withdrawn
BBB,F,South Region,A Level or Equivalent,35-55,0,60,N,Pass
BBB,F,North Western Region,HE Qualification,0-35,0,60,N,Fail
DDD,M,Yorkshire Region,Lower Than A Level,0-35,0,60,N,Withdrawn
GGG,M,East Anglian Region,A Level or Equivalent,35-55,0,30,N,Pass
DDD,M,West Midlands Region,A Level or Equivalent,0-35,0,120,N,Pass
DDD,M,North Region,Lower Than A Level,0-35,0,60,N,Fail
AAA,M,South West Region,Lower Than A Level,0-35,0,60,N,Pass
FFF,M,East Anglian Region,HE Qualification,0-35,1,120,N,Fail
GGG,M,London Region,A Level or Equivalent,0-35,0,30,N,Pass
DDD,F,East Midlands Region,A Level or Equivalent,0-35,0,60,N,Pass
GGG,M,East Anglian Region,A Level or Equivalent,0-35,0,30,N,Pass
DDD,F,London Region,HE Qualification,0-35,1,60,Y,Fail
BBB,F,South Region,A Level or Equivalent,35-55,0,120,N,Pass
DDD,F,East Anglian Region,A Level or Equivalent,0-35,0,60,N,Pass
FFF,F,London Region,No Formal quals,0-35,0,60,N,Withdrawn
FFF,M,Yorkshire Region,A Level or Equivalent,0-35,0,60,N,Pass
AAA,F,South Region,Lower Than A Level,0-35,0,120,Y,Fail
GGG,F,West Midlands Region,A Level or Equivalent,35-55,0,30,N,Pass
BBB,F,Scotland,Lower Than A Level,0-35,0,60,N,Fail
EEE,M,East Midlands Region,A Level or Equivalent,0-35,0,30,N,Pass
DDD,M,Yorkshire Region,HE Qualification,0-35,0,60,N,Pass
CCC,M,East Midlands Region,A Level or Equivalent,0-35,1,250,N,Fail
CCC,M,London Region,HE Qualification,35-55,0,90,N,Withdrawn
BBB,F,East Midlands Region,A Level or Equivalent,35-55,0,60,N,Withdrawn
CCC,F,South Region,A Level or Equivalent,0-35,0,60,N,Fail
FFF,M,Yorkshire Region,A Level or Equivalent,0-35,0,60,N,Pass
GGG,F,South Region,Lower Than A Level,0-35,0,30,N,Withdrawn
GGG,M,London Region,Lower Than A Level,35-55,0,30,N,Pass
FFF,M,South Region,A Level or Equivalent,0-35,0,90,Y,Pass
CCC,F,South Region,Lower Than A Level,0-35,0,90,N,Withdrawn
CCC,M,North Region,HE Qualification,35-55,0,60,N,Withdrawn
EEE,M,Scotland,HE Qualification,0-35,0,60,Y,Withdrawn
CCC,M,South Region,A Level or Equivalent,0-35,0,60,N,Withdrawn
EEE,M,Ireland,A Level or Equivalent,0-35,0,60,N,Withdrawn
DDD,F,South East Region,Lower Than A Level,0-35,0,60,N,Pass
CCC,M,West Midlands Region,A Level or Equivalent,0-35,0,30,N,Withdrawn
CCC,M,East Anglian Region,A Level or Equivalent,35-55,0,90,N,Withdrawn
DDD,M,North Region,Lower Than A Level,0-35,0,60,N,Pass
GGG,F,London Region,A Level or Equivalent,0-35,0,30,N,Fail
EEE,M,South West Region,Lower Than A Level,35-55,0,30,N,Pass
CCC,M,London Region,A Level or Equivalent,0-35,0,90,N,Withdrawn
FFF,F,Scotland,Lower Than A Level,35-55,1,120,N,Pass
FFF,M,Wales,HE Qualification,0-35,0,60,N,Withdrawn
DDD,M,London Region,HE Qualification,35-55,0,120,N,Withdrawn
FFF,M,North Region,Post Graduate Qualification,35-55,1,60,N,Fail
FFF,M,Wales,A Level or Equivalent,35-55,0,60,N,Pass
GGG,F,North Western Region,Lower Than A Level,0-35,0,30,Y,Pass
EEE,M,Ireland,A Level or Equivalent,35-55,1,60,N,Pass
FFF,M,South Region,A Level or Equivalent,0-35,0,120,Y,Pass
BBB,F,London Region,A Level or Equivalent,0-35,0,120,N,Withdrawn
CCC,M,London Region,A Level or Equivalent,35-55,0,60,N,Fail
FFF,M,South West Region,A Level or Equivalent,0-35,0,120,N,Pass
BBB,F,South Region,A Level or Equivalent,0-35,0,90,N,Pass
DDD,F,East Midlands Region,A Level or Equivalent,0-35,0,120,N,Withdrawn
EEE,M,South Region,Lower Than A Level,0-35,0,60,N,Pass
BBB,F,South West Region,A Level or Equivalent,0-35,0,60,N,Pass
FFF,M,London Region,Lower Than A Level,0-35,0,60,N,Pass
DDD,M,South Region,Post Graduate Qualification,35-55,1,60,N,Withdrawn
EEE,M,East Anglian Region,A Level or Equivalent,0-35,1,60,N,Pass
CCC,M,South Region,A Level or Equivalent,35-55,0,30,N,Pass
BBB,F,South Region,A Level or Equivalent,0-35,0,120,N,Pass
BBB,F,South East Region,A Level or Equivalent,0-35,0,60,N,Pass
BBB,M,Ireland,A Level or Equivalent,0-35,0,60,N,Pass
CCC,F,South West Region,A Level or Equivalent,35-55,0,90,N,Withdrawn
DDD,M,North Western Region,HE Qualification,0-35,0,150,N,Pass
DDD,M,North Western Region,A Level or Equivalent,0-35,1,60,N,Pass
FFF,M,Ireland,Lower Than A Level,0-35,0,120,N,Fail
EEE,M,Yorkshire Region,A Level or Equivalent,35-55,0,60,N,Pass
FFF,M,South Region,Lower Than A Level,35-55,0,60,N,Fail
CCC,M,East Anglian Region,A Level or Equivalent,0-35,0,60,N,Withdrawn
FFF,M,Ireland,Lower Than A Level,0-35,1,120,N,Pass
BBB,M,East Anglian Region,A Level or Equivalent,0-35,0,60,N,Fail
CCC,M,South Region,A Level or Equivalent,0-35,0,60,N,Pass
DDD,F,Yorkshire Region,HE Qualification,35-55,0,120,N,Withdrawn
FFF,M,South East Region,A Level or Equivalent,35-55,0,60,N,Pass
EEE,M,Ireland,HE Qualification,0-35,0,60,N,Pass
FFF,M,North Western Region,Lower Than A Level,35-55,0,60,N,Pass
DDD,M,Scotland,Lower Than A Level,0-35,0,60,N,Withdrawn
BBB,F,South West Region,Lower Than A Level,0-35,0,60,N,Pass
BBB,F,South East Region,Lower Than A Level,0-35,0,60,N,Withdrawn
DDD,F,Ireland,HE Qualification,0-35,0,60,N,Pass
BBB,F,East Anglian Region,HE Qualification,35-55,0,120,N,Withdrawn
BBB,F,Yorkshire Region,Lower Than A Level,0-35,0,60,N,Withdrawn
DDD,M,North Western Region,A Level or Equivalent,35-55,0,60,Y,Fail
CCC,M,South Region,A Level or Equivalent,0-35,0,60,N,Pass
FFF,M,South East Region,Lower Than A Level,0-35,0,60,N,Fail
FFF,F,South East Region,Lower Than A Level,35-55,0,120,N,Withdrawn
CCC,M,South East Region,A Level or Equivalent,0-35,0,60,N,Fail
DDD,F,East Anglian Region,A Level or Equivalent,0-35,0,60,N,Pass
FFF,M,London Region,Lower Than A Level,0-35,0,120,N,Withdrawn
BBB,M,South West Region,HE Qualification,35-55,0,120,N,Pass
EEE,M,West Midlands Region,Lower Than A Level,0-35,0,60,N,Pass
DDD,M,Yorkshire Region,A Level or Equivalent,0-35,0,90,N,Withdrawn
CCC,M,South East Region,A Level or Equivalent,0-35,0,90,N,Withdrawn
DDD,F,Wales,HE Qualification,35-55,0,120,N,Withdrawn
EEE,M,West Midlands Region,A Level or Equivalent,0-35,0,60,N,Withdrawn
CCC,F,East Midlands Region,A Level or Equivalent,0-35,0,60,N,Withdrawn
EEE,M,East Midlands Region,Lower Than A Level,0-35,0,60,N,Pass
DDD,M,South West Region,HE Qualification,55<=,0,120,N,Pass
FFF,F,East Midlands Region,A Level or Equivalent,0-35,0,120,N,Fail
EEE,M,Scotland,HE Qualification,35-55,0,60,N,Fail
BBB,F,South Region,Lower Than A Level,35-55,0,60,N,Pass
BBB,F,East Midlands Region,Lower Than A Level,0-35,1,60,N,Withdrawn
BBB,M,Wales,Lower Than A Level,35-55,0,120,N,Pass
CCC,M,London Region,A Level or Equivalent,0-35,0,60,N,Withdrawn
FFF,M,East Anglian Region,Lower Than A Level,35-55,0,120,N,Withdrawn
EEE,M,Wales,HE Qualification,35-55,0,60,N,Pass
DDD,F,East Anglian Region,A Level or Equivalent,0-35,1,60,N,Withdrawn
BBB,F,London Region,Lower Than A Level,0-35,0,60,N,Withdrawn
EEE,M,Scotland,A Level or Equivalent,0-35,0,60,N,Withdrawn
BBB,F,South West Region,Lower Than A Level,0-35,1,120,N,Fail
GGG,F,Wales,Lower Than A Level,35-55,0,30,N,Withdrawn
CCC,M,South East Region,HE Qualification,35-55,0,75,N,Withdrawn
BBB,F,Yorkshire Region,Lower Than A Level,0-35,0,120,N,Withdrawn
FFF,M,Yorkshire Region,Lower Than A Level,0-35,0,120,N,Fail
FFF,M,London Region,Lower Than A Level,0-35,0,120,N,Pass
FFF,F,Scotland,HE Qualification,0-35,0,90,N,Withdrawn
DDD,F,East Midlands Region,A Level or Equivalent,0-35,0,60,N,Pass
BBB,F,South Region,HE Qualification,0-35,0,120,N,Pass
FFF,M,Scotland,A Level or Equivalent,0-35,0,150,N,Pass
DDD,F,South Region,A Level or Equivalent,0-35,0,60,N,Pass
DDD,F,Wales,A Level or Equivalent,35-55,1,120,N,Pass
DDD,F,East Midlands Region,No Formal quals,0-35,1,60,N,Withdrawn
BBB,F,Yorkshire Region,A Level or Equivalent,0-35,0,60,N,Pass
BBB,F,South Region,Lower Than A Level,35-55,0,60,N,Pass
DDD,M,Yorkshire Region,A Level or Equivalent,0-35,0,60,N,Fail
EEE,M,South West Region,Lower Than A Level,35-55,0,180,N,Pass
DDD,F,South East Region,Lower Than A Level,35-55,0,60,N,Pass
FFF,M,East Anglian Region,Lower Than A Level,35-55,0,90,N,Withdrawn
DDD,M,Yorkshire Region,Lower Than A Level,35-55,0,60,Y,Pass
EEE,F,North Western Region,A Level or Equivalent,0-35,0,90,N,Pass
DDD,M,South West Region,HE Qualification,0-35,1,90,N,Pass
DDD,M,East Midlands Region,Lower Than A Level,0-35,0,60,N,Fail
AAA,M,Ireland,HE Qualification,35-55,0,120,N,Pass
BBB,F,South West Region,Lower Than A Level,35-55,0,120,N,Withdrawn
DDD,F,London Region,A Level or Equivalent,0-35,0,120,N,Withdrawn
FFF,M,South Region,A Level or Equivalent,0-35,0,60,N,Fail
GGG,F,North Western Region,Lower Than A Level,0-35,1,60,N,Fail
FFF,M,West Midlands Region,A Level or Equivalent,0-35,1,120,N,Pass
CCC,F,South West Region,A Level or Equivalent,35-55,0,60,Y,Withdrawn
BBB,F,Yorkshire Region,A Level or Equivalent,0-35,0,120,N,Pass
EEE,M,East Midlands Region,HE Qualification,0-35,0,60,N,Pass
CCC,M,London Region,A Level or Equivalent,35-55,0,30,N,Fail
DDD,M,Wales,A Level or Equivalent,0-35,0,90,N,Fail
DDD,M,South Region,Lower Than A Level,0-35,0,60,Y,Withdrawn
GGG,F,North Region,A Level or Equivalent,35-55,0,30,N,Fail
BBB,F,East Anglian Region,Lower Than A Level,0-35,0,60,N,Fail
CCC,M,West Midlands Region,Lower Than A Level,0-35,0,90,N,Pass
EEE,M,Scotland,A Level or Equivalent,0-35,0,30,Y,Fail
FFF,M,Scotland,HE Qualification,0-35,0,60,N,Pass
BBB,F,South West Region,A Level or Equivalent,0-35,0,60,N,Pass
DDD,F,South East Region,HE Qualification,0-35,0,60,N,Pass
EEE,M,North Region,HE Qualification,35-55,0,30,N,Fail
BBB,F,East Anglian Region,A Level or Equivalent,0-35,0,120,N,Withdrawn
FFF,M,North Region,Lower Than A Level,0-35,0,90,N,Pass
FFF,F,South West Region,A Level or Equivalent,35-55,0,60,N,Pass
CCC,M,South East Region,A Level or Equivalent,0-35,0,30,N,Withdrawn
FFF,M,Scotland,HE Qualification,0-35,0,60,N,Withdrawn
DDD,F,South East Region,A Level or Equivalent,0-35,0,90,N,Withdrawn
FFF,M,East Midlands Region,A Level or Equivalent,0-35,0,150,N,Pass
GGG,F,London Region,Lower Than A Level,35-55,0,30,N,Fail
CCC,M,North Western Region,HE Qualification,35-55,0,90,N,Withdrawn
CCC,M,London Region,A Level or Equivalent,0-35,0,120,Y,Withdrawn
EEE,M,South Region,Lower Than A Level,0-35,0,60,Y,Fail
EEE,F,London Region,No Formal quals,0-35,0,60,N,Withdrawn
FFF,M,Wales,A Level or Equivalent,0-35,2,60,N,Pass
FFF,M,Scotland,A Level or Equivalent,0-35,0,240,N,Withdrawn
GGG,F,Wales,Lower Than A Level,0-35,0,30,N,Withdrawn
BBB,F,Ireland,Lower Than A Level,35-55,0,60,N,Fail
BBB,F,Yorkshire Region,Lower Than A Level,0-35,0,60,N,Pass
EEE,M,East Anglian Region,Lower Than A Level,0-35,0,60,Y,Fail
CCC,F,South Region,HE Qualification,0-35,0,30,N,Pass
EEE,F,South West Region,A Level or Equivalent,0-35,0,60,N,Withdrawn
CCC,F,Scotland,Post Graduate Qualification,0-35,0,210,N,Fail
DDD,F,Scotland,Lower Than A Level,0-35,0,60,N,Withdrawn
CCC,M,South Region,Lower Than A Level,35-55,0,60,Y,Withdrawn
FFF,M,Scotland,HE Qualification,35-55,0,60,N,Withdrawn
EEE,M,Scotland,A Level or Equivalent,35-55,0,30,N,Withdrawn
DDD,F,North Region,Lower Than A Level,0-35,0,60,N,Fail
BBB,F,South Region,Lower Than A Level,0-35,0,120,N,Withdrawn
DDD,M,North Region,A Level or Equivalent,0-35,0,60,N,Pass
CCC,F,Scotland,HE Qualification,0-35,0,150,N,Withdrawn
GGG,F,East Anglian Region,Lower Than A Level,0-35,0,30,N,Pass
GGG,F,South Region,A Level or Equivalent,0-35,0,30,N,Withdrawn
GGG,F,South West Region,A Level or Equivalent,0-35,0,30,N,Pass
BBB,F,Ireland,Lower Than A Level,0-35,0,60,N,Withdrawn
FFF,M,East Midlands Region,Lower Than A Level,0-35,1,60,N,Fail
GGG,F,London Region,Lower Than A Level,0-35,0,30,N,Fail
FFF,M,West Midlands Region,Lower Than A Level,0-35,1,60,N,Fail
FFF,M,South East Region,Lower Than A Level,0-35,0,60,N,Pass
CCC,F,Scotland,A Level or Equivalent,0-35,0,120,Y,Pass
FFF,M,London Region,A Level or Equivalent,0-35,0,60,N,Pass
DDD,F,South East Region,HE Qualification,0-35,2,120,N,Fail
FFF,M,South Region,HE Qualification,0-35,0,120,N,Pass
CCC,M,Scotland,A Level or Equivalent,0-35,0,150,N,Withdrawn
BBB,F,Wales,Lower Than A Level,0-35,0,60,N,Fail
BBB,F,West Midlands Region,A Level or Equivalent,0-35,0,60,N,Pass
FFF,M,Wales,Lower Than A Level,0-35,0,60,N,Fail
FFF,F,Wales,A Level or Equivalent,0-35,0,60,N,Pass
BBB,M,South East Region,Lower Than A Level,0-35,0,120,N,Withdrawn
GGG,M,London Region,A Level or Equivalent,0-35,0,30,N,Pass
DDD,F,Scotland,HE Qualification,0-35,1,120,N,Withdrawn
BBB,F,East Anglian Region,A Level or Equivalent,35-55,0,60,N,Pass
BBB,F,South Region,Lower Than A Level,35-55,0,60,N,Fail
BBB,F,North Western Region,A Level or Equivalent,35-55,0,60,Y,Withdrawn
BBB,F,Yorkshire Region,A Level or Equivalent,0-35,0,60,N,Pass
BBB,F,Wales,Lower Than A Level,35-55,0,60,N,Pass
CCC,M,Yorkshire Region,A Level or Equivalent,0-35,0,150,N,Withdrawn
BBB,F,West Midlands Region,Lower Than A Level,0-35,1,60,Y,Withdrawn
FFF,F,South Region,A Level or Equivalent,0-35,0,150,N,Withdrawn
BBB,F,South Region,Lower Than A Level,0-35,0,60,N,Pass
EEE,F,East Midlands Region,A Level or Equivalent,0-35,0,60,N,Pass
BBB,F,North Western Region,Lower Than A Level,35-55,1,120,N,Fail
DDD,F,North Region,Post Graduate Qualification,35-55,0,70,N,Pass
FFF,M,London Region,A Level or Equivalent,35-55,0,60,N,Fail
BBB,F,West Midlands Region,A Level or Equivalent,0-35,0,60,N,Fail
BBB,F,Scotland,A Level or Equivalent,35-55,0,75,N,Pass
CCC,M,North Western Region,HE Qualification,35-55,0,60,N,Pass
CCC,M,Yorkshire Region,Lower Than A Level,0-35,0,90,N,Withdrawn
CCC,F,London Region,A Level or Equivalent,0-35,0,120,N,Fail
DDD,M,Scotland,HE Qualification,55<=,0,60,N,Withdrawn
EEE,M,East Midlands Region,A Level or Equivalent,0-35,0,90,N,Pass
DDD,M,North Western Region,A Level or Equivalent,0-35,0,180,N,Withdrawn
FFF,M,South East Region,Lower Than A Level,0-35,0,60,Y,Fail
FFF,M,East Midlands Region,Lower Than A Level,0-35,0,120,N,Fail
EEE,M,East Anglian Region,A Level or Equivalent,0-35,0,90,N,Fail
